City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Namatanai,PG,-3.6667,152.4333,86.29,60,76,12.01,broken clouds
303,Suntar,RU,62.1444,117.6319,28.96,92,100,9.48,light snow
304,Sorland,NO,67.667,12.6934,32.07,54,98,14.38,overcast clouds
305,Finnsnes,NO,69.2296,17.9811,31.96,98,100,4.18,snow
306,Opuwo,NA,-18.0607,13.84,65.61,37,77,2.55,broken clouds
307,Semirom,IR,31.4167,51.5667,35.58,93,100,3.2,overcast clouds
308,Sainte-Rose,GP,16.3324,-61.6979,73.44,88,0,0.0,clear sky
309,Krasnoselkup,RU,65.7,82.4667,32.83,98,100,22.91,light snow
310,Constitucion,CL,-35.3333,-72.4167,54.72,80,4,12.44,clear sky
311,Hondo,JP,32.45,130.2,69.75,76,100,17.74,overcast clouds
312,Atyrau,KZ,47.1167,51.8833,41.02,60,75,6.71,broken clouds
313,Gwadar,PK,25.1216,62.3254,77.59,41,0,4.29,clear sky
314,Juba,SS,4.8517,31.5825,70.38,90,99,6.15,light rain
315,Mwene-Ditu,CD,-7.0,23.45,63.14,92,81,3.87,broken clouds
316,Moose Factory,CA,51.2585,-80.6094,37.38,93,1,5.75,clear sky
317,Saurimo,AO,-9.6608,20.3916,63.32,94,86,3.29,overcast clouds
318,Kalmunai,LK,7.4167,81.8167,80.55,76,99,3.31,light rain
319,Moyale,KE,3.5167,39.0584,67.26,81,99,6.13,light rain
320,Filingue,NE,14.3521,3.3168,80.22,15,15,3.15,few clouds
321,Rock Sound,BS,24.9,-76.2,75.78,69,100,17.02,overcast clouds
322,Shelburne,CA,44.0787,-80.2041,48.65,87,68,6.82,broken clouds
323,Hasaki,JP,35.7333,140.8333,73.29,50,46,15.28,scattered clouds
324,Diourbel,SN,14.6628,-16.3925,73.72,61,58,6.62,broken clouds
325,Kahama,TZ,-3.8333,32.6,66.67,42,100,4.09,overcast clouds
326,Huancavelica,PE,-12.7667,-74.9833,39.49,89,99,2.71,overcast clouds
327,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,63,75,8.99,broken clouds
328,Poum,NC,-20.2333,164.0167,76.28,78,93,15.95,overcast clouds
329,Chiang Klang,TH,19.2938,100.8617,87.44,76,21,1.9,few clouds
330,Ocos,GT,14.5094,-92.1933,80.01,81,70,2.19,broken clouds
331,Arys,KZ,42.4252,68.795,39.42,26,100,3.31,overcast clouds
332,Altamirano,MX,16.8833,-92.15,48.2,96,64,1.7,broken clouds
333,Ibatiba,BR,-20.2339,-41.5106,62.94,98,95,2.71,overcast clouds
334,Rognan,NO,67.0953,15.3878,28.54,81,3,5.59,clear sky
335,Bucerias,MX,20.75,-105.3333,75.27,87,42,1.9,scattered clouds
336,Bay Saint Louis,US,30.3088,-89.33,53.67,67,0,7.14,clear sky
337,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,64,0,20.71,clear sky
338,Salamiyah,SY,35.0113,37.0532,58.89,37,69,6.87,broken clouds
339,Sao Mateus,BR,-18.7161,-39.8589,69.94,89,78,3.62,broken clouds
340,Barbacena,BR,-21.2258,-43.7736,59.88,98,96,6.4,overcast clouds
341,Paamiut,GL,61.994,-49.6678,19.8,66,15,7.16,few clouds
342,Mosalsk,RU,54.4881,34.9817,40.33,88,100,15.99,moderate rain
343,Cairns,AU,-16.9167,145.7667,95.07,65,52,9.22,broken clouds
344,Aitape,PG,-3.1374,142.3475,87.28,64,28,9.46,scattered clouds
345,Norman Wells,CA,65.282,-126.8329,12.24,85,90,9.22,light snow
346,Huilong,CN,31.8111,121.655,50.04,52,12,22.75,few clouds
347,Praia,CV,14.9215,-23.5087,75.74,73,40,13.8,scattered clouds
