City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Bubaque,GW,2021-11-07 01:02:42,11.2833,-15.8333,83.82,73,12,5.84
122,Torbay,CA,2021-11-07 01:00:52,47.6666,-52.7314,42.28,82,1,4.0
123,Mehriz,IR,2021-11-07 01:02:43,31.5917,54.4318,46.54,58,56,3.4
124,Margate,GB,2021-11-07 01:02:43,51.3813,1.3862,55.11,83,100,1.99
125,Roma,US,2021-11-07 01:00:01,43.2128,-75.4557,40.42,79,9,4.52
126,San Felipe,VE,2021-11-07 01:02:44,10.3399,-68.7425,72.25,98,84,1.9
127,Boyolangu,ID,2021-11-07 01:02:44,-8.1181,111.8935,83.89,73,98,2.77
128,Ambilobe,MG,2021-11-07 01:02:45,-13.2,49.05,70.86,81,8,4.12
129,Chuy,UY,2021-11-07 01:02:45,-33.6971,-53.4616,54.9,77,6,5.41
130,Hilo,US,2021-11-07 01:00:09,19.7297,-155.09,85.28,76,3,3.0
131,Hvolsvollur,IS,2021-11-07 01:02:46,63.7533,-20.2243,32.83,93,96,4.23
132,Airai,TL,2021-11-07 01:02:47,-8.9266,125.4092,75.72,51,42,1.9
133,Puerto Ayora,EC,2021-11-07 01:03:47,-0.7393,-90.3518,69.37,77,49,9.73
134,Mantua,IT,2021-11-07 01:03:48,45.1667,10.7833,48.9,80,100,2.28
135,Bethel,US,2021-11-07 01:03:48,41.3712,-73.414,41.65,76,1,0.0
136,Hirara,JP,2021-11-07 01:03:48,24.8,125.2833,77.31,71,3,14.65
137,Santa Maria,BR,2021-11-07 01:03:47,-29.6842,-53.8069,61.65,79,100,9.75
138,Mareeba,AU,2021-11-07 01:03:49,-17.0,145.4333,87.44,57,5,8.81
139,Tshikapa,CD,2021-11-07 01:00:28,-6.4167,20.8,70.29,94,100,3.2
140,Alofi,NU,2021-11-07 01:03:50,-19.0595,-169.9187,77.79,76,86,21.32
141,Fajardo,PR,2021-11-07 01:03:50,18.3258,-65.6524,80.98,78,40,6.91
142,Pisco,PE,2021-11-07 01:03:50,-13.7,-76.2167,64.45,82,0,11.5
143,Codrington,AU,2021-11-07 01:03:51,-38.2667,141.9667,57.06,56,100,9.55
144,Sur,OM,2021-11-07 01:03:52,22.5667,59.5289,74.75,54,0,7.54
145,Krumovgrad,BG,2021-11-07 01:03:52,41.4667,25.65,56.68,88,100,5.41
146,Guerrero Negro,MX,2021-11-07 01:03:52,27.9769,-114.0611,67.84,79,100,11.36
147,Palmas Bellas,PA,2021-11-07 01:03:53,9.2319,-80.0867,79.34,87,84,3.74
148,Batagay,RU,2021-11-07 01:03:53,67.6333,134.6333,-11.15,92,47,4.34
149,Plettenberg Bay,ZA,2021-11-07 01:03:54,-34.0527,23.3716,59.07,77,100,3.44
150,Tomatlan,MX,2021-11-07 01:03:54,19.9333,-105.25,75.72,85,86,2.13
151,Puerto Penasco,MX,2021-11-07 01:03:55,31.3167,-113.5333,75.9,79,0,8.25
152,Hamilton,US,2021-11-07 01:00:52,39.1834,-84.5333,48.02,67,0,2.73
153,Port Augusta,AU,2021-11-07 01:03:55,-32.5,137.7667,75.7,50,46,14.65
154,Fort Nelson,CA,2021-11-07 01:03:56,58.8053,-122.7002,30.25,98,100,5.23
155,Teya,RU,2021-11-07 01:03:56,60.3778,92.6267,23.94,85,100,15.39
156,Carauari,BR,2021-11-07 01:03:57,-4.8828,-66.8958,74.05,99,100,4.61
157,Hermanus,ZA,2021-11-07 01:03:57,-34.4187,19.2345,56.89,78,17,5.61
158,Bam,IR,2021-11-07 01:03:58,29.106,58.357,54.43,51,9,2.42
